Name,Time
Alspaugh,33
Bassett,21.5
Bell Tower,30.2
Blackwell Dorm,20.4
Southgate Dorm,23.2
Trinity,27.3
West House,24.46
Wilson Dorm,26.2
300 Swift,27.4
Craven Quad,11.3
Crowell Quad,16
Decker Tower,20
Edens Quad,6
Few Quad,9
Hollows B,20
Keohane 4E,9.2
Keohane Quad,7
Kilgo Quad,7.7
Wannamaker Quad,14
Baldwin Auditorium,26
Bishop's House,30
Bivins Building,30
Branson Hall,29
Brodie Recreation Center,21
Classroom Building,28
Crowell Building,32
East Duke Building,28
Friedl Building,27
Lilly Library,26
Mary Duke Biddle Music Building,35
West Duke Building,22
White Lecture Hall,31.3
Allen Building,18.5
Biosciences Building,22.2
Brodhead Center,13.8
Bryan Center,11.3
Card Gymnasium,8.2
Duke Chapel,21.3
Fitzpatrick,22
Fuqua School of Business,30.4
Gross Hall,20
Health and Wellness Center,13
Languages Building,10.2
LSRC,20
Old Chemistry Building,12
Penn Pavillion ,14
Bostock Library,21.4
Rubenstein Library,20
Reuben-Cooke Building,20.2
Sanford Building,16
Social Sciences Building,13
Wilson Recreation ,14
